Term:English,Description:English,Part:English,Term:Afrikaans,Description:Afrikaans,Term:Amharic,Description:Amharic,Term:Arabic,Description:Arabic,Term:Bengali,Description:Bengali,Term:Bengali (India),Description:Bengali (India),Term:Bulgarian,Description:Bulgarian,Term:Catalan,Description:Catalan,Term:Chinese Simplified,Description:Chinese Simplified,Term:Czech,Description:Czech,Term:Danish,Description:Danish,Term:Dutch,Description:Dutch,Term:Finnish,Description:Finnish,Term:French,Description:French,Term:German,Description:German,Term:Greek,Description:Greek,Term:Haitian Creole,Description:Haitian Creole,Term:Hausa,Description:Hausa,Term:Hebrew,Description:Hebrew,Term:Hindi,Description:Hindi,Term:Hungarian,Description:Hungarian,Term:Igbo,Description:Igbo,Term:Indoensian,Description:Indoensian,Term:Italian,Description:Italian,Term:Japanese,Description:Japanese,Term:Korean,Description:Korean,Term:Nepali,Description:Nepali,Term:Norwegian,Description:Norwegian,Term:Oromo,Description:Oromo,Term:Persian,Description:Persian,Term:Polish,Description:Polish,Term:Portuguese,Description:Portuguese,Term:Portuguese (Brazilian),Description:Portuguese (Brazilian),Term:Romanian,Description:Romanian,Term:Russian,Description:Russian,Term:Serbian (Cyrillic),Description:Serbian (Cyrillic),Term:Shona,Description:Shona,Term:Sinhala,Description:Sinhala,Term:Spanish (Modern),Description:Spanish (Modern),Term:Swahili,Description:Swahili,Term:Swedish,Description:Swedish,Term:Telugu,Description:Telugu,Term:Thai,Description:Thai,Term:Turkish,Description:Turkish,Term:Ukranian,Description:Ukranian,Term:Urdu (Pakistan),Description:Urdu (Pakistan),Term:Vietnamese,Description:Vietnamese,Term:Yoruba,Description:Yoruba,Term:Zulu,Description:Zulu
backslash,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,обратная косая черта / слэш,,,,,,,barra diagonal invertida / barra invertida,,,,,,,,,,,,,,,,,,,,,
module,模块,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
array,,NOUN,,,,,مصفوفة,,এরে,,,,,,,,数组,,,,,,,,,,un tableau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,مصفوفة,,,,,,массив,,,,,,,,arreglo,,,,,,,,,,dizi,,масив,,,,,,,,,
brackets,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобки,,,,,,,corchetes,,,,,,,,,,,,,,,,,,,,,
challenge,,NOUN,,,,,,,,,,,,,,,挑战,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,チャレンジ,freeCodeCamp の 1 画面ずつの課題を指すとき,,,,,,,,,,,,,,,,,,,,задача испытание вызов,,,,,,,desafío,,,,,,,,,,görev,,,,,,,,,,,
browser,,NOUN,,,,,,,,,,,,,,,浏览器,,,,,,,,,,,,Browser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,navegador,,,,,,,,,,tarayıcı,,браузер,,,,,,,,,
module,模块,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
function,,NOUN,,,,,,,,,,,,,,,函数,函数是由事件驱动的或者当它被调用时执行的可重复使用的代码块。,,,,,,,,,fonction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,función,,,,,,,,,,,,,,,,,,,,,
camper cat,,,,,,,,,ক্যাম্পার ক্যাট,,,,,,,,不翻译,人物名称,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camper Cat,,,,,,,,,,,,,,,,,,,,,
module,,,,,,,,,,,,,,,,,模块,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,módulo,,,,,,,,,,,,,,,,,,,,,
dataframe,,NOUN,,,,,,,,,,,,,,,不翻译,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dataframe,,,,,,,,,,,,таблиця даних,,,,,,,,,
npm Package,,,,,,,,,,,,,,,,,npm 包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paquete npm,,,,,,,,,,,,,,,,,,,,,
webpage,,,,,,,,,,,,,,,,,网页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,веб-страница,,,,,,,,pagina web,,,,,,,,,,,,,,,,,,,,,
key-value pairs,,,,,,,,,,,,,,,,,键值对,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pares clave-valor,,,,,,,,,,,,,,,,,,,,,
description,,,,,,,,,,,,,,,,,描述,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descripción,,,,,,,,,,,,,,,,,,,,,
required fields,,,,,,,,,,,,,,,,,必填（须）字段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,campos requeridos,,,,,,,,,,,,,,,,,,,,,
file tree,,,,,,,,,,,,,,,,,文件树,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,árbol de archivos,,,,,,,,,,,,,,,,,,,,,
file,,,,,,,,,,,,,,,,,文件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archivo,,,,,,,,,,,,,,,,,,,,,
double-quotes,,,,,,,,,,,,,,,,,双引号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comillas dobles,,,,,,,,,,,,,,,,,,,,,
comma,,,,,,,,,,,,,,,,,逗号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coma,,,,,,,,,,,,,,,,,,,,,
field name,,,,,,,,,,,,,,,,,字段名（称）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nombre del campo,,,,,,,,,,,,,,,,,,,,,
field-name,,,,,,,,,,,,,,,,,字段名（称）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nombre del campo,,,,,,,,,,,,,,,,,,,,,
key,,,,,,,,,,,,,,,,,键/密钥,,,,,,,,,,,,Taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clave,,,,,,,,,,,,ключі доступу,,,,,,,,,
publish,,,,,,,,,,,,,,,,,发布,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publicar,,,,,,,,,,,,,,,,,,,,,
npm,,,,,,,,,,,,,,,,,不翻译,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,npm,,,,,,,,,,,,,,,,,,,,,
sell idea,,,,,,,,,,,,,,,,,出主意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
developer,,NOUN,,,,,,,,,,,,,,,开发者,,,,,,,,,,,,Entwickler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desarrollador,,,,,,,,,,,,розробник,,,,,,,,,
Keywords,,NOUN,,,,,,,,,,,,,,,关键字,,,,,,,,,,,,,Schlüsselwörter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,palabras claves,,,,,,,,,,,,,,,,,,,,,
License,,,,,,,,,,,,,,,,,许可证/协议,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Licencia,,,,,,,,,,,,,,,,,,,,,
open source,,,,,,,,,,,,,,,,,开源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,código abierto,,,,,,,,,,,,,,,,,,,,,
copyright laws,,,,,,,,,,,,,,,,,版权法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leyes de derechos de autor,,,,,,,,,,,,,,,,,,,,,
ownership,,,,,,,,,,,,,,,,,所有权,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,propiedad,,,,,,,,,,,,,,,,,,,,,
version,,,,,,,,,,,,,,,,,版本号/版本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,versión,,,,,,,,,,,,,,,,,,,,,
dependency,,,,,,,,,,,,,,,,,依赖项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dependencia,,,,,,,,,,,,,,,,,,,,,
store,,NOUN,,,,,,,,সংরক্ষণ,,,,,,,存储,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,almacenar,,,,,,,,,,,,сховище сховище пам'яті ,,,,,,,,,
Semantic Versioning,,,,,,,,,,,,,,,,,语义化版本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,versión semántica,,,,,,,,,,,,,,,,,,,,,
MAJOR,,,,,,,,,,,,,,,,,主版本号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,principal,,,,,,,,,,,,,,,,,,,,,
MINOR,,,,,,,,,,,,,,,,,版本号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monor,,,,,,,,,,,,,,,,,,,,,
PATCH,,,,,,,,,,,,,,,,,修订号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bug,,,,,,,,,,,,,,,,,不翻译,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error,,,,,,,,,,,,,,,,,,,,,
Tilde-Character,,,,,,,,,,,,,,,,,波浪号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patch,,,,,,,,,,,,,,,,,补丁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compatible,,,,,,,,,,,,,,,,,兼容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,,,,,,,,,,,,,,,,,前缀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prefijo,,,,,,,,,,,,,,,,,,,,,
caret,,NOUN,,,,,,,,,,,,,,,脱字符,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caret,,,,,,,,,,,,карет,Карет (англ. caret) ^ — символ набора ASCII с кодом 5E16.,,,,,,,,
console,,NOUN,,,,,,,,,,,,,,,控制台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consola,,,,,,,,,,,,консоль,Консо́ль (англ. console) — пристрій який забезпечує взаємодію оператора комп'ютера з операційною системою. ,,,,,,,,
client,,,,,,,,,,,,,,,,,客户端,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cliente,,,,,,,,,,,,,,,,,,,,,
terminal,,,,,,,,,,,,,,,,,终端,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,
method,,NOUN,,,,,,,,,,,,,,,方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,método,,,,,метод,,,,,,,método,,,,,,,,,,,,,,,,,,,,,
server,,,,,,,,,,,,,,,,,服务器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,servidor,,,,,,,,,,,,,,,,,,,,,
port,,,,,,,,,,,,,,,,,端口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call,,NOUN,,,,,,,,,,,,,,,调用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,llamada,,,,,,,,,,,,виклик,,,,,,,,,
Express,,,,,,,,,,,,,,,,,不翻译,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Express,,,,,,,,,,,,,,,,,,,,,
request,,,,,,,,,,,,,,,,,请求,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,request,,,,,,,,,,,,,,,,,,,,,
response,,,,,,,,,,,,,,,,,响应,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,response,,,,,,,,,,,,,,,,,,,,,
Header,,,,,,,,,শিরোনাম,,,,,,,,消息头,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encabezado,encabezado / <header> (etiqueta de HTML),,,,,,,,,,,,,,,,,,,,
REST,,,,,,,,,,,,,,,,,具象状态传输,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REST,,,,,,,,,,,,,,,,,,,,,
Representational State Transfer,,,,,,,,,,,,,,,,,具象状态传输,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verb,,,,,,,,,,,,,,,,,动词,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
request-response loop,,,,,,,,,,,,,,,,,请求响应循环,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bucle de solicitud-respuesta,,,,,,,,,,,,,,,,,,,,,
environment variable,,,,,,,,,,,,,,,,,环境变量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,переменные окружения,,,,,,,variable de entorno,,,,,,,,,,,,,,,,,,,,,
database,,,,,,,,,,,,,,,,,数据库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base de datos,,,,,,,,,,,,,,,,,,,,,
global,,,,,,,,,,,,,,,,,全局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,global,,,,,,,,,,,,,,,,,,,,,
underscore,,,,,,,,,,,,,,,,,下划线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subrayar,,,,,,,,,,,,,,,,,,,,,
Middleware,,,,,,,,,,,,,,,,,中间件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Підпрограмне забезпечення,шар програмного забезпечення що складається з агентів які є посередниками між різними компонентами великого застосунка.,,,,,,,,
validation,,,,,,,,,,,,,,,,,验证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validación,,,,,,,,,,,,,,,,,,,,,
slashes,,,,,,,,,,,,,,,,,斜杠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payload,,,,,,,,,,,,,,,,,负载,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontpage,,,,,,,,,,,,,,,,,首页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,portada,,,,,,,,,,,,,,,,,,,,,
form,,,,,,,,,,,,,,,,,表单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Веб-формы являются одним из основных элементов взаимодействия между пользователем и сайтом или приложением. Формы позволяют пользователю ввести данные которые затем отправляются на сервер для их дальнейшей обработки и хранения или используются на стороне клиента для обновления интерфейса (например добавление нового элемента в список или открытие и закрытие элемента интерфейса).,,,,,,,formulario,,,,,,,,,,,,форма,,,,,,,,,
External Packages,,,,,,,,,,,,,,,,,外部包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,páginas externas,,,,,,,,,,,,,,,,,,,,,
dependency management,,,,,,,,,,,,,,,,,依赖管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gestión de dependencias,,,,,,,,,,,,,,,,,,,,,
freeze dependencies,,,,,,,,,,,,,,,,,锁定版本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property,quality or attribute of smth,NOUN,,,,,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proprietà,,,,,,,,,,,,,,,,,,,,,,свойство,,,,,,,,propiedad,,,,,,,,,,özellik,,властивість,,,,,,,,,
backquote,,,,,,,,,,,,,,,,,重音号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grave accent,,,,,,,,,,,,,,,,,重音号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acento grave,,,,,,,,,,,,,,,,,,,,,
multi-threading,,,,,,,,,,,,,,,,,多线程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
focus,,,,,,,,,,,,,,,,,聚焦,用 Tab 键选中的元素或通过鼠标指针点击选中的输入框、按钮等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enfocarse,,,,,,,,,,,,,,,,,,,,,
web fonts,,,,,,,,,,,,,,,,,web 字体,网页中加载的字体,,,,,,,,,,,Web Schriftarten,,,,,,,,,,,,,,,,,,web fonts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funtes web,,,,,,,,,,,,,,,,,,,,,
font family,,,,,,,,,,,,,,,,,字体族名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,семейство шрифтов,,,,,,,familia tipográfica,,,,,,,,,,,,,,,,,,,,,
viewport,,,,,,,,,,,,,,,,,视口,展示在浏览器窗口中的网页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,viewport,,,,,,,,,,,,,,,,,,,,,,,область просмотра,,,,,,,vista,,,,,,,,,,,,,,,,,,,,,
form widget,,,,,,,,,,,,,,,,,表单部件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
closing tag,,NOUN,,,,,,,সমাপনী বন্ধনী,,,,,,,,结束标签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了タグ,,,,,,,,,,,,,,,,,,,,закрывающий тег,,,,,,,,etiqueta de cierre,,,,,,,,,,kapanış etiketi,,кінцевий теґ,,,,,,,,,
item,,,,,,,,,,,,,,,,,元素,数组中的“项目”即为元素,,,,,,,,,élément,,,,,,,,,,,,,,,,,,,,elemento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elemento,,,,,,,,,,öge,,,,,,,,,,,
bracket notation,,DET,,,,,,,,,,,,,,,方括号表示法,用于访问对象属性,,,,,,,,,notation entre crochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,квадратные скобки,,,,,,,notación de corchetes,,,,,,,,,,,,дужкова нотація,,,,,,,,,
spread syntax,,,,,,,,,,,,,,,,,展开语法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sintaxis de propagación,,,,,,,,,,,,,,,,,,,,,
spread operator,,,,,,,,,,,,,,,,,展开操作符,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operador de propagación,,,,,,,,,,,,,,,,,,,,,
asset,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ресурс,составная часть сайта: текстовые файлы графика видео базы данных и др. В узком смысле «статический ресурс»: стили скрипты оформительская графика в противоположность динамическому содержимому,,,,,,,recursos,,,,,,,,,,,,,,,,,,,,,
breakpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,interrupción,,,,,,,,,,,,,,,,,,,,,
